Date	Open	High	Low	Close 	Adj Close 	Volume
Feb 10, 2026	70,109.42	70,425.13	67,932.24	68,894.34	68,894.34	45,881,683,968
Feb 9, 2026	70,243.33	71,369.97	68,291.03	70,120.78	70,120.78	52,081,598,792
Feb 8, 2026	69,283.73	72,206.91	68,852.90	70,264.73	70,264.73	39,721,722,619
Feb 7, 2026	70,553.80	71,611.15	67,364.45	69,281.97	69,281.97	62,347,107,663
Feb 6, 2026	62,704.45	71,681.30	60,074.20	70,555.39	70,555.39	114,674,259,489
Feb 5, 2026	73,016.38	73,161.55	62,353.54	62,702.10	62,702.10	125,509,410,908
Feb 4, 2026	75,640.09	76,864.66	71,779.93	73,019.70	73,019.70	67,215,363,944
Feb 3, 2026	78,693.51	79,118.85	72,897.14	75,633.55	75,633.55	68,249,110,822
Feb 2, 2026	76,968.88	79,258.61	74,551.34	78,688.77	78,688.77	75,140,589,684
Feb 1, 2026	78,626.13	79,322.61	75,698.90	76,974.45	76,974.45	53,372,509,744
Jan 31, 2026	84,126.50	84,136.92	75,815.88	78,621.12	78,621.12	70,479,259,159
Jan 30, 2026	84,562.73	84,602.16	81,071.48	84,128.66	84,128.66	72,083,816,087
Jan 29, 2026	89,169.85	89,200.78	83,250.60	84,561.59	84,561.59	64,653,083,162
Jan 28, 2026	89,104.05	90,439.29	88,721.46	89,184.57	89,184.57	39,807,419,296
Jan 27, 2026	88,257.48	89,427.13	87,228.92	89,102.57	89,102.57	38,744,942,267
Jan 26, 2026	86,566.52	88,743.07	86,429.29	88,267.14	88,267.14	45,329,286,974
Jan 25, 2026	89,104.77	89,193.15	86,003.71	86,572.22	86,572.22	36,124,986,722
Jan 24, 2026	89,506.15	89,811.61	89,044.29	89,110.73	89,110.73	14,558,687,712
Jan 23, 2026	89,462.05	91,100.25	88,486.36	89,503.88	89,503.88	38,997,586,037
Jan 22, 2026	89,378.52	90,258.96	88,438.45	89,462.45	89,462.45	35,549,685,694
Jan 21, 2026	88,326.51	90,430.41	87,231.57	89,376.96	89,376.96	56,330,422,434
Jan 20, 2026	92,553.60	92,798.43	87,814.93	88,310.91	88,310.91	53,072,968,031
Jan 19, 2026	93,655.67	93,660.83	92,089.25	92,553.59	92,553.59	39,195,241,508
Jan 18, 2026	95,101.18	95,491.51	93,588.87	93,634.43	93,634.43	20,809,781,232
Jan 17, 2026	95,525.16	95,598.48	95,005.62	95,099.92	95,099.92	16,021,715,122
Jan 16, 2026	95,554.10	95,801.89	94,259.27	95,525.12	95,525.12	33,248,170,537
Jan 15, 2026	96,931.29	97,150.17	95,103.24	95,551.19	95,551.19	53,086,363,027
Jan 14, 2026	95,322.91	97,860.60	94,583.05	96,929.33	96,929.33	60,592,490,863
Jan 13, 2026	91,185.34	96,011.63	90,941.93	95,321.78	95,321.78	54,980,674,354
Jan 12, 2026	90,825.86	92,395.52	90,055.02	91,192.99	91,192.99	41,346,275,358
Jan 11, 2026	90,385.36	91,155.23	90,212.02	90,827.46	90,827.46	17,165,568,977
Jan 10, 2026	90,510.10	90,713.03	90,283.40	90,386.65	90,386.65	12,385,895,282
Jan 9, 2026	91,026.27	91,910.67	89,625.38	90,513.10	90,513.10	38,305,906,684
Jan 8, 2026	91,309.64	91,485.85	89,233.88	91,027.13	91,027.13	42,386,697,030
Jan 7, 2026	93,727.47	93,738.79	90,601.80	91,308.05	91,308.05	43,461,295,053
Jan 6, 2026	93,876.95	94,395.30	91,286.55	93,729.03	93,729.03	52,430,605,257
Jan 5, 2026	91,414.63	94,762.07	91,414.63	93,882.55	93,882.55	53,376,407,252
Jan 4, 2026	90,603.00	91,712.59	90,595.10	91,413.49	91,413.49	26,770,491,368
Jan 3, 2026	89,945.05	90,679.57	89,328.07	90,603.19	90,603.19	20,774,828,592
Jan 2, 2026	88,733.06	90,884.46	88,298.62	89,944.70	89,944.70	46,398,906,171
Jan 1, 2026	87,508.05	88,803.23	87,399.41	88,731.98	88,731.98	18,849,043,990
Dec 31, 2025	88,429.59	89,080.29	87,130.56	87,508.83	87,508.83	33,830,210,616
Dec 30, 2025	87,134.35	89,297.94	86,735.55	88,430.13	88,430.13	35,586,356,225
Dec 29, 2025	87,835.79	90,299.16	86,717.91	87,138.14	87,138.14	48,411,625,849
Dec 28, 2025	87,799.34	87,986.89	87,394.95	87,835.84	87,835.84	15,156,557,929
Dec 27, 2025	87,301.43	87,874.78	87,182.98	87,802.16	87,802.16	13,741,199,310
Dec 26, 2025	87,235.51	89,459.43	86,628.14	87,301.43	87,301.43	42,455,674,908
Dec 25, 2025	87,608.32	88,501.79	86,949.26	87,234.74	87,234.74	19,953,216,347
Dec 24, 2025	87,404.32	87,956.88	86,411.80	87,611.96	87,611.96	25,550,297,986
Dec 23, 2025	88,490.03	88,898.38	86,606.98	87,414.00	87,414.00	43,683,011,533
Dec 22, 2025	88,621.40	90,501.93	87,908.07	88,490.02	88,490.02	38,047,472,118
Dec 21, 2025	88,344.70	89,027.95	87,613.20	88,621.75	88,621.75	19,845,522,660
Dec 20, 2025	88,101.67	88,497.20	87,924.88	88,344.00	88,344.00	14,688,196,659
Dec 19, 2025	85,476.13	89,339.12	85,107.66	88,103.38	88,103.38	46,733,310,561
Dec 18, 2025	86,144.37	89,412.66	84,436.31	85,462.51	85,462.51	52,667,115,348
Dec 17, 2025	87,847.62	90,264.57	85,316.27	86,143.76	86,143.76	44,243,392,914
Dec 16, 2025	86,424.41	88,170.09	85,381.69	87,843.98	87,843.98	41,262,178,223
Dec 15, 2025	88,171.08	89,983.92	85,304.08	86,419.78	86,419.78	45,559,514,323
Dec 14, 2025	90,296.44	90,498.11	87,634.94	88,175.18	88,175.18	50,465,972,205
Dec 13, 2025	90,257.80	90,647.57	89,800.99	90,298.71	90,298.71	64,237,748,110
Dec 12, 2025	92,513.66	92,747.93	89,532.60	90,270.41	90,270.41	80,275,884,583
Dec 11, 2025	92,011.30	93,554.27	89,335.30	92,511.34	92,511.34	64,532,834,621
Dec 10, 2025	92,695.23	94,477.16	91,640.13	92,020.95	92,020.95	65,420,694,513
Dec 9, 2025	90,639.70	94,601.57	89,586.98	92,691.71	92,691.71	66,861,721,440
Dec 8, 2025	90,424.59	92,267.12	89,644.89	90,640.20	90,640.20	57,394,099,056
Dec 7, 2025	89,277.81	91,740.84	87,799.56	90,405.64	90,405.64	47,394,898,960
Dec 6, 2025	89,389.36	90,267.46	88,951.66	89,272.38	89,272.38	37,994,042,405
Dec 5, 2025	92,133.65	92,702.64	88,152.14	89,387.76	89,387.76	63,256,398,633
Dec 4, 2025	93,454.26	94,038.24	90,976.10	92,141.63	92,141.63	64,538,402,681
Dec 3, 2025	91,345.09	94,060.77	91,056.39	93,527.80	93,527.80	77,650,204,986
Dec 2, 2025	86,322.54	92,316.63	86,202.20	91,350.20	91,350.20	78,546,798,211
Dec 1, 2025	90,389.11	90,398.16	83,862.25	86,321.57	86,321.57	87,962,894,424
Nov 30, 2025	90,838.21	91,965.05	90,394.31	90,394.31	90,394.31	38,497,902,869
Nov 29, 2025	90,918.74	91,187.62	90,260.19	90,851.76	90,851.76	37,921,773,455
Nov 28, 2025	91,285.38	92,969.09	90,257.12	90,919.27	90,919.27	60,895,830,289
Nov 27, 2025	90,517.77	91,897.58	90,089.52	91,285.38	91,285.38	57,040,622,845
Nov 26, 2025	87,345.59	90,581.16	86,316.90	90,518.37	90,518.37	66,496,301,869
Nov 25, 2025	88,269.96	88,457.34	86,131.43	87,341.89	87,341.89	64,837,343,545
Nov 24, 2025	86,798.77	89,206.34	85,272.20	88,270.56	88,270.56	74,433,896,110
