Date,Open,High,Low,Close,Volume
2025-08-06,345.20,350.50,342.10,348.30,65200000
2025-08-07,348.50,352.00,346.00,350.10,62100000
2025-08-08,350.00,355.20,348.50,353.40,68000000
2025-08-11,353.00,358.00,351.00,356.20,71500000
2025-08-12,356.50,360.00,354.20,358.10,75000000
2025-08-13,358.00,359.50,350.00,352.50,81000000
2025-08-14,352.00,355.00,348.00,349.80,69000000
2025-08-15,350.00,352.50,345.50,347.20,64500000
2025-08-18,347.50,350.00,342.00,344.10,61000000
2025-08-19,344.00,348.00,341.50,346.50,63200000
2025-08-20,346.80,351.20,345.00,349.00,66000000
2025-08-21,349.50,354.00,348.50,352.20,69500000
2025-08-22,352.50,358.00,351.00,356.80,72100000
2025-08-25,357.00,362.50,355.50,360.10,78000000
2025-08-26,360.50,365.00,358.00,363.50,81500000
2025-08-27,363.00,364.50,356.00,358.20,85000000
2025-08-28,358.50,360.00,352.00,354.10,71000000
2025-08-29,354.50,358.00,351.50,355.60,68500000
2025-09-02,356.00,361.50,355.00,359.80,74000000
2025-09-03,360.00,365.20,358.50,363.10,79200000
2025-09-04,363.50,368.00,361.00,365.50,82100000
2025-09-05,365.00,370.00,364.00,368.20,85500000
2025-09-08,368.50,372.00,365.50,369.10,81000000
2025-09-09,369.00,371.50,362.00,364.50,78000000
2025-09-10,364.00,368.00,360.50,362.20,75000000
2025-09-11,362.50,365.00,358.00,360.10,71000000
2025-09-12,360.00,363.50,356.50,358.80,69500000
2025-09-15,359.00,362.00,355.00,357.20,68000000
2025-09-16,357.50,360.00,352.50,355.10,66500000
2025-09-17,355.00,358.50,351.00,356.50,69000000
2025-09-18,357.00,361.20,355.50,359.80,72500000
2025-09-19,360.00,365.00,358.00,362.40,76000000
2025-09-22,362.50,368.00,361.00,365.10,80100000
2025-09-23,365.50,370.50,363.00,368.20,83500000
2025-09-24,368.00,372.00,366.50,370.50,81000000
2025-09-25,371.00,375.50,369.00,373.20,88200000
2025-09-26,373.50,378.00,371.50,376.10,91000000
2025-09-29,376.00,380.00,374.00,378.50,93500000
2025-09-30,378.50,382.50,376.50,380.20,89000000
2025-10-01,380.00,385.00,378.00,382.10,92100000
2025-10-02,382.50,388.00,381.00,385.60,95500000
2025-10-03,386.00,391.50,384.50,389.20,98000000
2025-10-06,389.50,395.00,388.00,392.10,102000000
2025-10-07,392.00,398.00,390.50,395.50,105000000
2025-10-08,396.00,401.50,394.00,398.20,108000000
